metier,competences
Scrum master,Analyser les besoins du client. Analyser les besoins du client. Certification Scrum Master. Déterminer des mesures correctives. JIRA. Établir un cahier des charges. Concevoir et développer les programmes et applications informatiques. Rédiger une Spécification Technique de Besoin (STB). Accessibilité numérique. Azure. Gestion de projet. Salesforce
Scrum master,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges. SalonduNumérique
Scrum master,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges
Scrum master,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges
Scrum master,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges
Scrum master,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges
Scrum master,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges
Scrum master,"Analyser les besoins du client. Animer une réunion. Concevoir et développer les programmes et applications informatiques. Contrôler la réalisation d'une prestation. Définir les moyens humains, matériels et financiers d'un projet. Déterminer des mesures correctives. Langage informatique Python. Langage informatique SQL. Méthodologie Scrum. Rédiger une Spécification Technique de Besoin (STB). Superviser et coordonner les réalisations, études ou développements informatiques (collaborateurs, sous-traitants). Établir un cahier des charges"
Scrum master,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges
Scrum master,Sens de la communication. Sens de l'organisation. Rigueur
Chef de projet technique,"Analyser et définir les besoins de l'entreprise, des utilisateurs en matière d'organisation et de systèmes d'information et de télécoms. Concevoir le schéma directeur à partir des orientations fixées par la direction et des besoins des services utilisateurs et superviser les modalités de mise en oeuvre. Coordonner les différentes étapes d'un projet. Piloter un projet. Procéder au choix de réalisation, de traitement en interne ou par sous-traitance et en contrôler la conformité de réalisation"
Chef de projet technique,"Analyser et définir les besoins de l'entreprise, des utilisateurs en matière d'organisation et de systèmes d'information et de télécoms. Concevoir le schéma directeur à partir des orientations fixées par la direction et des besoins des services utilisateurs et superviser les modalités de mise en oeuvre. Coordonner les différentes étapes d'un projet. Piloter un projet. Procéder au choix de réalisation, de traitement en interne ou par sous-traitance et en contrôler la conformité de réalisation"
Chef de projet technique,"Piloter un projet. Analyser et définir les besoins de l'entreprise, des utilisateurs en matière d'organisation et de systèmes d'information et de télécoms. Concevoir le schéma directeur à partir des orientations fixées par la direction et des besoins des services utilisateurs et superviser les modalités de mise en oeuvre. Coordonner les différentes étapes d'un projet. Procéder au choix de réalisation, de traitement en interne ou par sous-traitance et en contrôler la conformité de réalisation"
Chef de projet technique,"Contrôler la conformité d'exploitation. Contrôler la réalisation d'une prestation. Définir les moyens humains, matériels et financiers d'un projet. Mettre en place des actions correctives et préventives. Évaluer les besoins et les impératifs d'exploitation d'une infrastructure"
Chef de projet technique,"Contrôler la conformité d'exploitation. Contrôler la réalisation d'une prestation. Définir les moyens humains, matériels et financiers d'un projet. Mettre en place des actions correctives et préventives. Évaluer les besoins et les impératifs d'exploitation d'une infrastructure"
Chef de projet technique,"Classer les documents, informations et fonds documentaires d'une activité. Concevoir un tableau de bord. Outils bureautiques. Réaliser un suivi d'activité. Saisir des documents numériques"
Chef de projet technique,"Analyser et définir les besoins de l'entreprise, des utilisateurs en matière d'organisation et de systèmes d'information et de télécoms. Concevoir le schéma directeur à partir des orientations fixées par la direction et des besoins des services utilisateurs et superviser les modalités de mise en oeuvre. Coordonner les différentes étapes d'un projet. Piloter un projet. Procéder au choix de réalisation, de traitement en interne ou par sous-traitance et en contrôler la conformité de réalisation"
Chef de projet technique,"Analyser les éléments de fabrication. Chiffrage/calcul de coût. Définir les procédés, moyens et modes opératoires. Établir un document de fabrication"
Chef de projet technique,Analyser les processus métier. Définir des solutions fonctionnelles. Définir la faisabilité et la rentabilité d'un projet. Présenter les évolutions du système d'information au commanditaire. Recenser les besoins du commanditaire
Chef de projet technique,Contrôler la réception des commandes. Coordonner des opérations. Gestion des stocks et des approvisionnements. Planifier le traitement des commandes
Chef de projet technique,Analyser les processus métier. Définir des solutions fonctionnelles. Définir la faisabilité et la rentabilité d'un projet. Présenter les évolutions du système d'information au commanditaire. Recenser les besoins du commanditaire
Chef de projet technique,"Analyser et définir les besoins de l'entreprise, des utilisateurs en matière d'organisation et de systèmes d'information et de télécoms. Concevoir le schéma directeur à partir des orientations fixées par la direction et des besoins des services utilisateurs et superviser les modalités de mise en oeuvre. Coordonner les différentes étapes d'un projet. Piloter un projet. Procéder au choix de réalisation, de traitement en interne ou par sous-traitance et en contrôler la conformité de réalisation"
Chef de projet technique,Définir la faisabilité et la rentabilité d'un projet. Déterminer des axes d'évolution technologiques. Identifier les contraintes d'un projet. Élaborer des propositions techniques. Élaborer des solutions techniques et financières
Chef de projet technique,Contrôler la réception des commandes. Coordonner des opérations. Gestion des stocks et des approvisionnements. Planifier le traitement des commandes
Chef de projet technique,Contrôler la réception des commandes. Coordonner des opérations. Gestion des stocks et des approvisionnements. Planifier le traitement des commandes
